psraid,sample,state,cregion,usr,eminuse,intmob,pialql1,smart1,act62,act102,act121,act131,act132,act133,act134,pial1a,pial1b,vid01a,vid01b,vid01c,vid01d,vid01e,vid01f,vid01g,vid01h,vid01i,vid01j,pial2,pial3a,pial3b,pial3c,pial3d,pial3e,pial3f,pial3g,pial4a,pial4b,pial5,pial6,cell1a,cell1b,cell1c,cell1d,cell2,employ,par,sex,age,educ2,hisp,race,inc,weight,standwt
100482,1,53,4,S,1,1,1,1,1,2,1,2,2,1,2,1,2,2,1,2,1,1,1,2,1,2,2,2, , , , , , , , , , , ,1,2,1,2,2,1,2,1,56,8,2,1,8,1.89655172413793,.566404555467655
100484,1,37,3,S,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2, , , , , , , ,1,1,2,1,1,1,1,1,1,1,2,1,23,3,1,9,2,2.86206896551724,.854755965523915
100486,1,39,2,S,1,1,1,1,2,1,2,1,2,2,2,1,1,1,1,1,1,1,2,2,1,1,2,2, , , , , , , , , , , ,2,2,2,2,2,1,1,2,48,6,2,1,8,2.31034482758621,.689983731206052
100502,1,37,3,S,1,2,1,2,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,3,2,1,67,6,2,1,6,1.27586206896552,.381035791860059
100507,1,12,3,S,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,1,3,2,1,86,2,2,1,3,1,.298649674701127
100510,1,17,2,S,1,1,1,2,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,2,2,1,84,4,2,1,3,2.48275862068966,.741475054430384
100512,1,17,2,S,2,2,1,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,3,2,1,81,1,2,1,99,1,.298649674701127
100513,1,41,4,R,1,1,1,2,2,2,1,1,2,1,2,1,2,1,1,1,2,2,2,2,1,1,2,2, , , , , , , , , , , ,2,2,2,2,2,2,1,2,40,6,1,1,8,4.75862068965517,1.42116052099157
100515,1,18,2,S,1,1,1,2,1,2,1,1,1,2,1,1,2,2,1,2,2,2,2,2,1,1,2,2, , , , , , , ,1,2,2,2,2,2,2,2,2,1,2,1,57,3,2,1,5,3.41379310344828,1.01952819984178
100517,1,41,4,S,1,2,1,2,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,3,2,1,62,3,2,1,5,3.03448275862069,.906247288748248
100523,1,53,4,U,1,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , ,2,2,2,2,2,3,2,1,84,8,2,1,6,1.75862068965517,.525211496888189
100527,1,53,4,S,1,2,2, ,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,3,2,2,89,4,2,1,99,2.6551724137931,.792966377654717
100532,1,6,4,S,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,28,4,2,9,6,8.03448275862069,2.39949566225388
100533,1,6,4,S,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,2,1,2,1,2,1,1,2,1,1,1,1,2,2,1,1,2,40,4,2,3,8,8.03448275862069,2.39949566225388
100536,1,17,2,S,1,2,1,1,2,2,2,2,2,1,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,1,2,2,2,1,2,2,2,67,5,2,1,6,1.06896551724138,.31924620399086
100543,1,48,3,U,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,3,2,2,72,3,1,1,2,1.93103448275862,.576702820112521
100550,1,27,2,R,1,2,1,2,1,1,1,2,2,1,1,2,2,2,1,2,2,2,1,2,1,1,2,2, , , , , , , , , , , ,2,2,2,2,2,1,2,1,58,6,2,1,6,1.62068965517241,.484018438308723
100553,1,48,3,U,1,1,1,2,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,1,2,3,2,1,67,8,2,1,99,1.6551724137931,.49431670295359
100558,1,1,3,R,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,1,1,2,1,1,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,43,6,2,1,9,2.44827586206897,.731176789785518
100560,1,6,4,U,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2, , , , , , , , , , , ,2,2,2,2,2,3,2,1,83,5,2,1,99,1.6551724137931,.49431670295359
100567,1,6,4,U,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,1,2,3,2,1,53,4,1,1,1,6.58620689655172,1.96696854716949
100568,1,32,4,U,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,2,89,4,2,1,3,1.48275862068966,.442825379729257
100574,1,41,4,S,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,1,1,1,2,2,2,2,2,2, , , , , , , , , , , ,2,2,2,2,2,1,2,2,49,4,2,1,7,3.31034482758621,.988633405907179
100581,1,6,4,S,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2, , , , , , , , , , , ,1,2,1,2,2,1,2,2,63,4,2,1,5,3.55172413793104,1.06072125842124
100598,1,17,2,S,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,1,91,8,2,1,6,1.27586206896552,.381035791860059
100599,1,46,2,U,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,2,69,4,2,1,1,1.27586206896552,.381035791860059
100631,1,6,4,U,1,1,1,1,2,1,1,1,2,1,2,2,2,1,1,1,1,2,1,2,1,1,2,2, , , , , , , , , , , ,1,2,1,2,2,2,2,2,62,6,2,1,6,1.96551724137931,.587001084757388
100645,1,51,3,S,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,26,6,2,2,8,2.31034482758621,.689983731206052
100646,1,33,1,R,1,1,1,1,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2, , , , , , , , , , , ,1,2,1,2,2,2,1,2,42,6,2,1,4,2.55172413793103,.762071583720117
100647,1,42,1,S,1,2,1,2,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,3,2,2,74,4,2,1,2,1.06896551724138,.31924620399086
100650,1,37,3,U,2,2,1,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,3,2,1,87,3,2,1,3,2.48275862068966,.741475054430384
100657,1,25,1,S,1,1,1,2,1,1,2,2,2,2,1,2,2,1,1,1,1,2,1,2,1,1,2,2, , , , , , , , , , , ,1,2,1,2,2,3,2,1,94,6,2,1,3,1,.298649674701127
100660,1,45,3,S,1,2,2, ,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,3,2,1,65,1,2,1,3,1.55172413793103,.46342190901899
100661,1,13,3,R,1,2,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2, , , , , , , , , , , ,2,2,2,2,2,3,2,2,63,4,2,1,99,1.75862068965517,.525211496888189
100662,1,23,1,S,1,2,1,2,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,3,2,2,74,3,2,1,7,1.24137931034483,.370737527215192
100666,1,33,1,R,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,1,2,9,2,2,64,3,2,1,99,1.10344827586207,.329544468635726
100668,1,45,3,R,1,1,1,1,2,1,2,1,2,1,2,1,2,1,1,1,1,2,2,2,1,1,2,2, , , , , , , , , , , ,1,2,1,2,2,1,1,2,31,3,2,2,3,3.27586206896552,.978335141262313
100671,1,42,1,S,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,2,2, , , , , , , ,2,2,2,2,2,2,2,2,2,1,2,2,24,6,2,1,3,2.03448275862069,.60759761404712
100679,1,51,3,S,1,2,1,2,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,3,2,1,62,8,2,2,7,1.75862068965517,.525211496888189
100687,1,12,3,S,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,3,2,1,82,2,2,1,2,2.03448275862069,.60759761404712
100693,1,39,2,S,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,1,63,3,2,1,2,7.31034482758621,2.18323210471169
100697,1,13,3,R,1,2,1,2,2,2,1,2,2,1,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,1,1,2,2,64,6,2,1,6,1.6551724137931,.49431670295359
100699,1,25,1,S,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,2,77,3,2,1,1,3.75862068965517,1.12251084629044
100706,1,24,3,S,1,2,1,2,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,3,2,2,99,3,2,1,6,2.75862068965517,.823861171589316
100713,1,54,3,S,1,1,1,2,2,2,2,2,1,2,1, , , , , , , , , , , , ,2, , , , , , , ,1,2,2,2,2,2,2,2,2,3,1,2,49,3,2,1,3,3.10344827586207,.926843818037981
100715,1,34,1,S,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2, , , , , , , , , , , ,2,2,2,2,2,1,2,2,52,6,2,1,6,2.37931034482759,.710580260495785
100728,1,37,3,S,1,2,1,2,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,3,2,2,70,3,2,1,5,1,.298649674701127
100729,1,42,1,R,1,2,2, ,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,3,1,1,54,3,2,1,3,4.82758620689655,1.4417570502813
100730,1,13,3,R,1,1,1,2,2,1,1,2,2,1,2,2,2,1,1,2,1,2,2,1,1,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,40,5,2,1,6,3.79310344827586,1.13280911093531
100731,1,36,1,S,1,1,1,1,8,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2, , , , , , , , , , , ,2,2,2,2,2,2,1,2,42,3,2,1,99,4.41379310344828,1.31817787454291
100733,1,36,1,U,2,2,1,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,3,2,2,65,6,2,1,5,1.75862068965517,.525211496888189
100740,1,36,1,S,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,1,2,2,2,2,1,2,2,2,1,1,1,2,2,2,1,2,36,8,2,1,8,4.44827586206897,1.32847613918777
100741,1,26,2,S,1,1,1,1,2,1,2,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2, , , , , , , , , , , ,1,2,2,1,2,3,2,2,99,5,2,1,4,2,.597299349402254
100743,1,37,3,U,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,3,2,2,61,3,2,1,2,2.62068965517241,.78266811300985
100745,1,9,1,U,1,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,2,2,1,2,1,2,2,2, , , , , , , ,2,2,2,1,2,2,2,2,2,3,2,2,65,8,2,1,5,1.03448275862069,.308947939345994
100748,1,34,1,S,1,2,2, ,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,1,2,1,60,6,2,1,4,3.86206896551724,1.15340564022504
100753,1,12,3,R,1,2,1,2,2,1,2,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,2,2,2,2,2,2,1,2,2,51,5,2,5,7,2.86206896551724,.854755965523915
100756,1,37,3,S,1,2,1,2,2,2,2,2,2,1,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,3,2,2,53,6,2,1,8,3,.895949024103381
100759,1,45,3,S,1,2,1,2,2,1,1,2,2,1,2,1,2,1,1,1,2,2,1,2,2,1,2,2, , , , , , , , , , , ,2,2,2,2,2,3,2,2,76,7,1,1,99,1.62068965517241,.484018438308723
100763,1,48,3,U,1,1,1,1,2,1,2,2,2,1,2,2,2,1,2,2,1,2,2,2,1,1,2,2, , , , , , , , , , , ,2,2,2,2,2,1,2,2,47,4,2,2,9,4.96551724137931,1.48295010886077
100768,1,37,3,R,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,1,27,3,2,1,2,3.37931034482759,1.00922993519691
100769,1,12,3,U,1,2,2, ,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,3,2,2,70,5,2,1,2,1.96551724137931,.587001084757388
100783,1,36,1,S,2,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,2,99,3,2,1,99,1.58620689655172,.473720173663857
100786,1,40,3,S,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,1,66,3,2,1,7,2.79310344827586,.834159436234183
100791,1,48,3,S,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,3,2,2,75,3,2,1,6,3.03448275862069,.906247288748248
100792,1,12,3,S,1,2,1,2,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,1,2,1,57,5,2,1,6,1.55172413793103,.46342190901899
100793,1,13,3,S,1,2,1,2,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,3,2,2,82,3,2,1,99,2.24137931034483,.669387201916319
100795,1,55,2,S,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2, , , , , , , , , , , ,2,2,2,2,2,3,2,2,69,3,2,1,99,1.44827586206897,.432527115084391
100797,1,42,1,U,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,3,1,2,22,2,2,2,2,4.17241379310345,1.24609002202884
100801,1,23,1,U,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,3,2,2,99,3,2,1,2,1,.298649674701127
100804,1,55,2,S,1,1,1,2,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,3,2,2,81,6,2,1,99,1,.298649674701127
100807,1,26,2,R,1,1,1,1,2,1,1,1,2,1,2,2,2,2,1,2,2,2,2,1,2,1,2,2, , , , , , , , , , , ,1,2,1,2,2,3,1,2,33,3,2,1,7,3.96551724137931,1.18430043415964
100810,1,31,2,S,1,1,1,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2, , , , , , , ,1,2,2,2,1,1,1,1,2,1,2,2,20,4,2,1,6,4.6551724137931,1.39026572705697
100822,1,51,3,S,1,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2, , , , , , , , , , , ,2,2,2,2,2,3,2,1,69,3,2,1,3,1.55172413793103,.46342190901899
100832,1,5,3,R,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,1,2,2,68,3,2,1,3,1,.298649674701127
100833,1,47,3,U,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,1,67,6,1,1,4,1.31034482758621,.391334056504925
100837,1,48,3,R,1,1,1,1,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2, , , , , , , , , , , ,2,2,2,2,2,3,2,2,74,6,2,1,99,1.20689655172414,.360439262570326
100838,1,48,3,S,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,2,76,3,2,2,4,2.13793103448276,.63849240798172
100844,1,51,3,U,1,1,1,1,2,1,1,1,2,2,2,1,2,1,2,2,2,2,2,1,1,1,2,2, , , , , , , , , , , ,2,2,2,2,2,3,2,2,51,6,2,1,6,3.96551724137931,1.18430043415964
100848,1,37,3,S,1,1,1,2,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,3,2,1,84,6,2,1,99,1,.298649674701127
100854,1,37,3,R,1,2,1,2,1,1,1,1,1,2,8,8,8,1,1,1,1,2,1,2,1,1,1,1,1,2,1,2,1,2,1,1,2,2,1,1,2,2,8,2,1,2,1,43,6,2,1,5,2.48275862068966,.741475054430384
100860,1,42,1,R,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,2,80,2,2,1,99,1.20689655172414,.360439262570326
100862,1,55,2,S,1,2,1,2,2,1,2,2,2,2,2,1,2,1,1,1,2,2,2,2,2,1,2,2, , , , , , , , , , , ,2,2,2,2,2,1,2,1,45,3,2,1,6,2.89655172413793,.865054230168782
100867,1,19,2,U,1,1,1,2,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,3,2,2,73,6,2,1,3,1.20689655172414,.360439262570326
100869,1,17,2,S,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,3,2,2,99,8,2,1,99,1.3448275862069,.401632321149792
100874,1,47,3,R,1,1,1,2,1,1,2,1,2,1,2,2,2,2,1,2,2,2,2,1,1,1,2,2, , , , , , , , , , , ,2,2,2,2,2,3,1,2,47,4,2,1,3,1.82758620689655,.545808026177922
100879,1,48,3,S,1,2,1,2,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,3,2,2,53,4,2,1,99,3.13793103448276,.937142082682847
100885,1,18,2,S,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,2,2,2,1,1,1,1,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,2,2,2,2,19,3,2,1,8,3.48275862068966,1.04012472913151
100897,1,19,2,R,1,2,1,2,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,3,2,2,70,3,2,1,99,1.44827586206897,.432527115084391
100910,1,12,3,U,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,2,1,2,2,1,2, , , , , , , , , , , ,1,2,2,2,1,1,2,1,27,6,2,4,4,2.58620689655172,.772369848364984
100913,1,37,3,S,1,2,1,2,1,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,1,2,2, , , , , , , , , , , ,2,2,2,2,2,3,1,2,49,6,2,1,9,2.82758620689655,.844457700879049
100914,1,36,1,S,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,3,2,1,83,5,2,1,3,1.03448275862069,.308947939345994
100916,1,24,3,U,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,1,88,3,2,1,3,3.06896551724138,.916545553393114
100917,1,37,3,R,1,2,1,2,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,1,1,2,43,4,2,1,3,2.44827586206897,.731176789785518
100919,1,37,3,S,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,3,2,2,62,3,2,1,1,2,.597299349402254
100920,1,49,4,R,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,2,88,3,2,1,1,1.68965517241379,.504614967598456
100924,1,26,2,U,1,2,2, ,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,3,2,1,73,8,2,1,7,1.93103448275862,.576702820112521
100925,1,50,1,S,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,2,2,2,1,2,2, , , , , , , ,1,2,2,2,1,1,1,2,2,3,2,2,20,3,1,6,99,3.93103448275862,1.17400216951478
100930,1,25,1,S,1,2,1,2,2,2,2,2,2,1,2, , , , , , , , , , , , ,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,72,3,2,1,4,2.03448275862069,.60759761404712
100933,1,49,4,S,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,99,8,2,1,2,3.48275862068966,1.04012472913151
100937,1,10,3,U,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,1,1,2,2,1,2,2,2,2,1,2,2,1,55,4,2,4,4,3,.895949024103381
100941,1,8,4,U,1,1,1,1,2,2,2,8,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,1,2,1,3,2,1,73,4,2,2,4,1,.298649674701127
100942,1,42,1,S,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,2,72,3,2,1,99,2.89655172413793,.865054230168782
100946,1,17,2,S,1,1,1,1,2,2,2,2,2,2,2, , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,2,2,84,6,2,1,99,1.03448275862069,.308947939345994
100948,1,48,3,U,1,2,1,2,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,1,2,2,53,4,2,1,3,1.82758620689655,.545808026177922
100952,1,55,2,U,1,2,1,2,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,3,2,2,71,7,2,1,99,1.20689655172414,.360439262570326
100956,1,5,3,S,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,3,2,1,79,3,2,1,3,1.51724137931035,.453123644374124
100961,1,40,3,U,1,1,1,1,1,1,2,1,2,1,2,1,2,2,1,1,2,1,1,2,1,1,2,2, , , , , , , , , , , ,1,2,2,2,2,1,1,1,43,8,2,1,6,4.68965517241379,1.40056399170184
100970,1,1,3,R,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,1,48,2,2,2,1,4.75862068965517,1.42116052099157
100975,1,35,4,R,1,2,2, ,2,1,2,1,2,1,2,2,2,1,1,2,2,2,1,2,1,2,2,2, , , , , , , , , , , , , , , , ,1,2,1,61,6,2,1,4,1.89655172413793,.566404555467655
100976,1,47,3,R,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,2,99,2,2,1,2,2.82758620689655,.844457700879049
100978,1,10,3,S,1,1,1,2,1,1,2,1,2,1,2,2,2,2,1,2,2,2,2,1,1,2,2,2, , , , , , , , , , , ,2,2,2,2,2,1,1,2,41,6,2,1,8,4.75862068965517,1.42116052099157
100980,1,5,3,U,1,1,1,1,2,1,1,1,2,2,2,2,2,1,1,1,1,2,1,1,2,1,2,2, , , , , , , , , , , ,1,2,1,2,1,3,2,1,24,3,2,1,4,2.62068965517241,.78266811300985
100983,1,30,4,S,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,1,63,3,2,1,1,3,.895949024103381
100987,1,39,2,U,1,1,1,1,1,1,1,2,2,1,2,2,2,1,1,2,2,2,2,2,2,1,2,2, , , , , , , , , , , ,1,2,1,2,2,1,2,2,99,6,2,1,99,1.86206896551724,.556106290822788
100991,1,42,1,R,1,2,2, ,2,1,1,2,2,1,2,1,2,1,2,2,2,2,1,2,1,1,2,2, , , , , , , , , , , , , , , , ,3,2,2,52,1,2,1,1,6.31034482758621,1.88458243001056
100997,1,47,3,S,2,1,1,1,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,3,2,2,99,5,2,4,99,1,.298649674701127
101002,1,42,1,U,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,2,65,3,2,1,2,2.10344827586207,.628194143336853
101003,1,5,3,R,1,2,1,1,2,2,2,2,2,1,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,3,2,2,72,1,2,1,99,1.44827586206897,.432527115084391
101014,1,27,2,S,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,1,69,6,2,1,4,1.72413793103448,.514913232243323
101026,1,42,1,S,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,3,2,1,67,8,2,1,1,1,.298649674701127
101027,1,47,3,S,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,3,2,1,71,2,2,1,3,1.55172413793103,.46342190901899
101033,1,17,2,R,1,2,1,2,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,3,2,2,85,8,2,1,7,1.20689655172414,.360439262570326
101035,1,4,4,U,1,1,1,1,2,2,1,1,2,1,2,1,2,1,2,2,2,2,1,2,2,2,2,2, , , , , , , , , , , ,1,2,2,2,2,1,2,2,60,6,2,1,5,1.6551724137931,.49431670295359
101038,1,19,2,R,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,3,2,2,81,4,2,1,99,1,.298649674701127
101041,1,4,4,S,1,2,1,2,1,1,2,1,2,2,2,1,2,1,1,1,2,2,2,1,1,1,2,2, , , , , , , , , , , ,2,2,2,2,2,2,2,2,64,6,1,1,4,2.62068965517241,.78266811300985
101042,1,12,3,S,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,2,86,3,2,1,3,2.24137931034483,.669387201916319
101047,1,39,2,S,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , ,2,2,2,2,2,3,2,2,79,8,2,1,6,1.58620689655172,.473720173663857
101049,1,26,2,U,1,1,1,1,2,1,1,1,1,2,1,2,2,1,1,2,2,2,1,1,1,1,2,1,1,1,1,2,2,2,2,1,2,2,1,1,2,1,2,1,1,1,2,33,5,1,6,5,3.55172413793104,1.06072125842124
101056,1,6,4,U,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2, , , , , , , , , , , ,1,2,1,1,1,2,1,1,42,6,2,5,5,5.06896551724138,1.51384490279537
101059,1,4,4,R,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,3,2,2,71,4,2,1,99,1.48275862068966,.442825379729257
101063,1,41,4,R,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2, , , , , , , , , , , ,1,2,1,2,1,1,2,1,39,8,2,1,8,2.86206896551724,.854755965523915
101067,1,37,3,R,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,3,2,1,70,3,2,2,2,1.27586206896552,.381035791860059
101069,1,10,3,S,1,2,1,2,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,3,2,2,77,3,2,1,3,1.75862068965517,.525211496888189
101079,1,55,2,R,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,1,65,3,2,1,3,4.55172413793104,1.35937093312237
