psraid,sample,state,cregion,usr,eminuse,intmob,pialql1,smart1,act62,act102,act121,act131,act132,act133,act134,pial1a,pial1b,vid01a,vid01b,vid01c,vid01d,vid01e,vid01f,vid01g,vid01h,vid01i,vid01j,pial2,pial3a,pial3b,pial3c,pial3d,pial3e,pial3f,pial3g,pial4a,pial4b,pial5,pial6,cell1a,cell1b,cell1c,cell1d,cell2,employ,par,sex,age,educ2,hisp,race,inc,weight,standwt
100099,1,42,1,S,1,2,1,2,2,2,2,2,2,1,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,1,2,1,60,6,2,1,5,1.68965517241379,.504614967598456
100106,1,47,3,U,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,2,84,4,2,1,3,1.6551724137931,.49431670295359
100107,1,12,3,S,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , ,2,2,2,2,2,3,2,2,65,4,2,1,99,1.27586206896552,.381035791860059
100113,1,34,1,S,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,1,2,2,59,5,2,1,4,2.55172413793103,.762071583720117
100118,1,48,3,R,1,2,1,2,1,1,1,1,2,1,1,1,2,1,1,1,2,2,1,1,1,1,2,2, , , , , , , , , , , ,2,2,2,2,2,3,2,2,59,4,2,1,2,1.13793103448276,.339842733280593
100120,1,48,3,U,1,2,1,2,2,2,1,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,1,3,2,2,62,3,1,1,4,5.13793103448276,1.5344414320851
100123,1,42,1,S,1,2,1,2,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,3,2,2,77,3,2,1,2,1.03448275862069,.308947939345994
100127,1,29,2,R,1,1,1,1,2,1,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2, , , , , , , , , , , ,1,2,1,2,1,1,1,2,44,3,2,1,4,2.17241379310345,.648790672626586
100128,1,17,2,R,1,2,1,2,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,3,2,2,51,3,2,1,4,2.51724137931034,.751773319075251
100131,1,1,3,R,1,2,2, ,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2, , , , , , , , , , , , , , , , ,3,2,2,56,3,2,1,3,5.44827586206897,1.6271258138889
